,Street Address,Bed,Bath,Listing Area,Certificate,Jakarta Division,Price
22006,Pantai Indah Kapuk,3,3,125,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,2800000000.0
17292,Pondok Kelapa,4,3,200,SHM - Sertifikat Hak Milik,EAST,2700000000.0
21193,Jakarta Garden City/JGC,3,3,63,SHGB - Hak Guna Bangunan,EAST,2000000000.0
1678,Cempaka Putih,2,2,68,SHM - Sertifikat Hak Milik,CENTRAL,1525000000.0
11811,Jelambar,2,2,157,SHM - Sertifikat Hak Milik,WEST,2000000000.0
19195,Sunter,4,4,90,SHM - Sertifikat Hak Milik,NORTH,2300000000.0
5389,Ampera,3,3,332,SHM - Sertifikat Hak Milik,SOUTH,6700000000.0
20091,Kebon Jeruk,3,3,100,SHGB - Hak Guna Bangunan,WEST,2520000000.0
18860,Muara Karang,4,4,200,SHM - Sertifikat Hak Milik,NORTH,6000000000.0
3644,Taman Ratu,3,3,90,SHM - Sertifikat Hak Milik,WEST,1600000000.0
12946,Pondok Kelapa,4,3,162,SHM - Sertifikat Hak Milik,EAST,2500000000.0
2884,Joglo,4,4,160,SHM - Sertifikat Hak Milik,WEST,1900000000.0
2546,Cengkareng,3,2,165,SHM - Sertifikat Hak Milik,WEST,2300000000.0
7769,Pondok Kelapa,3,3,150,SHM - Sertifikat Hak Milik,EAST,1200000000.0
15181,Pantai Indah Kapuk,3,3,107,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,3100000000.0
1953,Kemayoran,5,1,40,SHM - Sertifikat Hak Milik,CENTRAL,500000000.0
2603,Cengkareng,3,2,100,SHM - Sertifikat Hak Milik,WEST,2100000000.0
537,Kemayoran,3,3,216,SHM - Sertifikat Hak Milik,CENTRAL,5000000000.0
1566,Sawah Besar,3,2,98,SHM - Sertifikat Hak Milik,CENTRAL,1350000000.0
3614,Meruya,4,4,170,SHM - Sertifikat Hak Milik,WEST,2300000000.0
11398,Taman Sari,4,4,214,SHM - Sertifikat Hak Milik,WEST,3890000000.0
11952,Permata Buana,3,4,230,SHM - Sertifikat Hak Milik,WEST,4700000000.0
11871,Permata Buana,4,3,225,SHM - Sertifikat Hak Milik,WEST,4900000000.0
6653,Cipinang,3,3,190,SHM - Sertifikat Hak Milik,EAST,3850000000.0
6325,Ciracas,2,2,38,SHM - Sertifikat Hak Milik,EAST,525263670.0
10778,Sawah Besar,3,2,276,SHM - Sertifikat Hak Milik,CENTRAL,1090000000.0
14102,Kelapa Gading,4,2,140,SHM - Sertifikat Hak Milik,NORTH,2650000000.0
3184,Cengkareng,5,4,264,SHM - Sertifikat Hak Milik,WEST,2800000000.0
17719,Jakarta Garden City/JGC,4,3,120,SHM - Sertifikat Hak Milik,EAST,2850000000.0
16895,Kali Deres,3,4,224,SHM - Sertifikat Hak Milik,WEST,4500000000.0
22243,Kelapa Gading,5,4,168,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,5500000000.0
4027,Pondok Cabe,3,2,63,SHM - Sertifikat Hak Milik,SOUTH,628000000.0
14267,Pantai Indah Kapuk,3,3,160,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,3200000000.0
16805,Jelambar,4,3,180,SHM - Sertifikat Hak Milik,WEST,3500000000.0
18230,Cakung,3,3,115,Sertifikat Belum Pecah,EAST,2900000000.0
3333,Kali Deres,3,2,120,SHM - Sertifikat Hak Milik,WEST,2750000000.0
20523,Cengkareng,3,3,100,SHM - Sertifikat Hak Milik,WEST,2100000000.0
20361,Kebon Jeruk,3,2,128,SHM - Sertifikat Hak Milik,WEST,2200000000.0
16932,Taman Ratu,3,3,200,SHM - Sertifikat Hak Milik,WEST,3000000000.0
6691,Cakung,3,3,69,SHM - Sertifikat Hak Milik,EAST,1700000000.0
17306,Cakung,5,4,200,SHM - Sertifikat Hak Milik,EAST,3700000000.0
2086,Meruya,4,4,170,SHM - Sertifikat Hak Milik,WEST,2700000000.0
4320,Jagakarsa,4,4,250,SHM - Sertifikat Hak Milik,SOUTH,3500000000.0
18836,Kelapa Gading,3,3,330,SHM - Sertifikat Hak Milik,NORTH,3800000000.0
13863,Pantai Mutiara,4,4,149,SHM - Sertifikat Hak Milik,NORTH,2713950000.0
22686,Kelapa Gading,2,2,100,SHM - Sertifikat Hak Milik,NORTH,2500000000.0
19167,Kelapa Gading,5,4,169,SHM - Sertifikat Hak Milik,NORTH,4850000000.0
9746,Pantai Indah Kapuk,3,3,200,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,3600000000.0
4984,Jagakarsa,3,4,135,SHM - Sertifikat Hak Milik,SOUTH,2200000000.0
3057,Daan Mogot,3,3,120,SHM - Sertifikat Hak Milik,WEST,3750000000.0
18293,Pulomas,4,4,225,SHM - Sertifikat Hak Milik,EAST,6500000000.0
2946,Sunrise,4,3,150,SHM - Sertifikat Hak Milik,WEST,1690000000.0
19144,Pantai Indah Kapuk,3,3,200,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,160000000.0
19531,Johar Baru,3,2,135,SHGB - Hak Guna Bangunan,CENTRAL,1800000000.0
17430,Ciracas,3,2,80,SHM - Sertifikat Hak Milik,EAST,2500000000.0
15116,Muara Karang,5,4,300,SHM - Sertifikat Hak Milik,NORTH,5300000000.0
3553,Tomang,4,4,130,SHM - Sertifikat Hak Milik,WEST,2500000000.0
18008,Cibubur,2,1,36,SHM - Sertifikat Hak Milik,EAST,414000000.0
824,Gambir,2,1,60,SHM - Sertifikat Hak Milik,CENTRAL,1100000000.0
10689,Kemayoran,3,3,150,SHM - Sertifikat Hak Milik,CENTRAL,2000000000.0
17716,Duren Sawit,3,2,140,AJB - Akta Jual Beli,EAST,1450000000.0
21975,Pantai Indah Kapuk,3,3,120,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,2800000000.0
2650,Grogol Petamburan,3,3,80,SHM - Sertifikat Hak Milik,WEST,1299000000.0
18864,Pantai Indah Kapuk,3,3,100,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,2500000000.0
16374,Taman Surya,3,2,105,SHM - Sertifikat Hak Milik,WEST,1750000000.0
21217,Cakung,3,3,150,SHM - Sertifikat Hak Milik,EAST,990000000.0
15389,Kemayoran,4,3,250,SHM - Sertifikat Hak Milik,CENTRAL,5250000000.0
2193,Meruya,4,4,185,SHGB - Hak Guna Bangunan,WEST,2550000000.0
277,Sudirman,2,1,45,SHM - Sertifikat Hak Milik,CENTRAL,550000000.0
14603,Pantai Indah Kapuk,2,2,96,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,1850000000.0
14472,Semper,3,4,183,SHM - Sertifikat Hak Milik,NORTH,1500000000.0
22644,Sunter,3,3,200,SHM - Sertifikat Hak Milik,NORTH,5500000000.0
21519,Cibubur,2,1,50,SHM - Sertifikat Hak Milik,EAST,280000000.0
14900,Kelapa Gading,5,2,105,SHM - Sertifikat Hak Milik,NORTH,950000000.0
6526,Cilangkap,3,2,75,SHM - Sertifikat Hak Milik,EAST,1200000000.0
16985,Tanjung Duren,4,4,160,SHM - Sertifikat Hak Milik,WEST,2300000000.0
6074,Jakarta Garden City/JGC,2,1,88,PPJB - Perjanjian Pengikatan Jual Beli,EAST,1800000000.0
20663,Duri Kosambi,5,4,213,SHM - Sertifikat Hak Milik,WEST,4000000000.0
15738,Sawah Besar,3,2,132,SHM - Sertifikat Hak Milik,CENTRAL,2914413333.0
17495,Rawamangun,5,4,195,SHM - Sertifikat Hak Milik,EAST,5900000000.0
21075,Duren Sawit,4,3,104,SHM - Sertifikat Hak Milik,EAST,6500000000.0
4191,Pesanggrahan,5,4,300,SHM - Sertifikat Hak Milik,SOUTH,3500000000.0
3965,Tanjung Duren,3,2,210,SHM - Sertifikat Hak Milik,WEST,1400000000.0
6767,Cawang,3,1,75,SHM - Sertifikat Hak Milik,EAST,698000030.0
515,Glodok,4,3,180,SHM - Sertifikat Hak Milik,CENTRAL,3990000000.0
11516,Jelambar,4,3,100,SHM - Sertifikat Hak Milik,WEST,2300000000.0
22091,Pantai Indah Kapuk,3,2,180,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,3350000000.0
16667,Jelambar,3,3,150,SHM - Sertifikat Hak Milik,WEST,2100000000.0
13552,Matraman,3,3,100,SHM - Sertifikat Hak Milik,EAST,1100000000.0
21068,Duren Sawit,2,2,90,SHM - Sertifikat Hak Milik,EAST,1700000000.0
14958,Pantai Indah Kapuk,2,2,78,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,2867000000.0
6186,Cakung,4,3,127,SHM - Sertifikat Hak Milik,EAST,3000000000.0
17616,Cibubur,3,2,60,SHM - Sertifikat Hak Milik,EAST,909000000.0
11251,Kali Deres,4,2,108,SHM - Sertifikat Hak Milik,WEST,3000000000.0
2430,Kembangan,4,4,170,SHM - Sertifikat Hak Milik,WEST,2300000000.0
16975,Green Garden,3,3,144,SHM - Sertifikat Hak Milik,WEST,3500000000.0
21426,Ciracas,4,2,150,SHM - Sertifikat Hak Milik,EAST,4300000000.0
5313,Pondok Indah,5,4,250,SHM - Sertifikat Hak Milik,SOUTH,6900000000.0
5874,Jagakarsa,3,2,125,SHM - Sertifikat Hak Milik,SOUTH,825000000.0
7799,Cakung,4,3,144,PPJB - Perjanjian Pengikatan Jual Beli,EAST,3199000000.0
18624,Kelapa Gading,4,4,156,SHM - Sertifikat Hak Milik,NORTH,3300000000.0
12517,Cibubur,3,2,62,SHM - Sertifikat Hak Milik,EAST,700000000.0
2588,Cengkareng,3,2,69,SHM - Sertifikat Hak Milik,WEST,1551238999.0
9599,Kelapa Gading,3,1,108,SHM - Sertifikat Hak Milik,NORTH,2500000000.0
21710,Cililitan,5,4,194,SHM - Sertifikat Hak Milik,EAST,4800000000.0
16229,Kebon Jeruk,3,3,108,SHM - Sertifikat Hak Milik,WEST,1500000000.0
13643,Kayu Putih,3,3,80,SHM - Sertifikat Hak Milik,EAST,900000000.0
15541,Cempaka Putih,3,2,190,Sertifikat Belum Pecah,CENTRAL,2250000000.0
291,Tanah Abang,4,2,240,SHM - Sertifikat Hak Milik,CENTRAL,5500000000.0
13953,Pantai Indah Kapuk,3,3,140,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,2200000000.0
20722,Jelambar,4,2,72,SHM - Sertifikat Hak Milik,WEST,1500000000.0
