,Price,Street Address,Bed,Bath,Listing Area,Certificate,Jakarta Division
119,3000000000.0,Cideng,4,3,180,SHM - Sertifikat Hak Milik,CENTRAL
124,5500000000.0,Cempaka Putih,4,3,250,SHM - Sertifikat Hak Milik,CENTRAL
130,2900800010.0,Sawah Besar,3,2,132,SHM - Sertifikat Hak Milik,CENTRAL
138,6500000000.0,Sawah Besar,4,3,300,SHM - Sertifikat Hak Milik,CENTRAL
142,850000000.0,Kemayoran,2,2,60,SHM - Sertifikat Hak Milik,CENTRAL
143,3100000000.0,Gunung Sahari,3,2,220,SHM - Sertifikat Hak Milik,CENTRAL
145,5321389000.0,Menteng,5,4,218,SHM - Sertifikat Hak Milik,CENTRAL
146,6312389000.0,Kemayoran,4,3,208,SHM - Sertifikat Hak Milik,CENTRAL
147,6312390000.0,Menteng,4,3,208,SHM - Sertifikat Hak Milik,CENTRAL
148,1512390000.0,Johar Baru,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL
149,1457823898.0,Glodok,2,2,63,SHM - Sertifikat Hak Milik,CENTRAL
150,2913090000.0,Kemayoran,3,2,132,SHM - Sertifikat Hak Milik,CENTRAL
151,1552389000.0,Sawah Besar,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL
154,1300000000.0,Cempaka Putih,4,3,60,SHM - Sertifikat Hak Milik,CENTRAL
155,1542378990.0,Roxy,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL
161,1523890099.0,Sawah Besar,2,2,62,SHM - Sertifikat Hak Milik,CENTRAL
162,1512390000.0,Sawah Besar,2,2,62,SHM - Sertifikat Hak Milik,CENTRAL
163,1521290000.0,Kemayoran,2,2,62,SHM - Sertifikat Hak Milik,CENTRAL
164,1521839000.0,Roxy,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL
165,6200000000.0,Gunung Sahari,5,4,208,SHM - Sertifikat Hak Milik,CENTRAL
167,3400000000.0,Tanah Abang,3,2,155,Strata,CENTRAL
169,5300000000.0,Cempaka Putih,4,4,310,SHM - Sertifikat Hak Milik,CENTRAL
170,2912380000.0,Menteng,3,2,132,SHM - Sertifikat Hak Milik,CENTRAL
