Price,Street Address,Bed,Bath,Listing Area,Certificate,Jakarta Division
1700000000.0,Cempaka Putih,2,2,78,SHM - Sertifikat Hak Milik,CENTRAL
4500000000.0,Cempaka Putih,4,3,200,SHM - Sertifikat Hak Milik,CENTRAL
3500000000.0,Cempaka Putih,3,2,157,SHM - Sertifikat Hak Milik,CENTRAL
1250000000.0,Cempaka Putih,2,1,64,SHM - Sertifikat Hak Milik,CENTRAL
2500000000.0,Cempaka Putih,5,3,180,SHM - Sertifikat Hak Milik,CENTRAL
6200000000.0,Cideng,3,3,245,SHM - Sertifikat Hak Milik,CENTRAL
550000000.0,Johar Baru,2,1,60,SHM - Sertifikat Hak Milik,CENTRAL
1350000000.0,Sawah Besar,3,2,98,SHM - Sertifikat Hak Milik,CENTRAL
395000000.0,Cempaka Putih,2,2,42,SHM - Sertifikat Hak Milik,CENTRAL
1875000000.0,Kemayoran,5,3,200,SHM - Sertifikat Hak Milik,CENTRAL
506600000.0,Kemayoran,2,2,43,SHM - Sertifikat Hak Milik,CENTRAL
1071312000.0,Cempaka Putih,2,2,58,SHM - Sertifikat Hak Milik,CENTRAL
1061312000.0,Cempaka Putih,2,2,58,SHM - Sertifikat Hak Milik,CENTRAL
1186672000.0,Cempaka Putih,2,2,62,SHM - Sertifikat Hak Milik,CENTRAL
990000000.0,Kemayoran,4,3,110,SHM - Sertifikat Hak Milik,CENTRAL
1900000000.0,Cempaka Putih,2,2,90,SHM - Sertifikat Hak Milik,CENTRAL
3600000000.0,Cideng,3,2,180,SHM - Sertifikat Hak Milik,CENTRAL
5000000000.0,Glodok,4,3,222,SHM - Sertifikat Hak Milik,CENTRAL
3500000000.0,Kemayoran,4,3,100,SHM - Sertifikat Hak Milik,CENTRAL
1523910000.0,Johar Baru,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL
3300000000.0,Cideng,3,2,169,SHM - Sertifikat Hak Milik,CENTRAL
2300000000.0,Senen,2,3,150,SHM - Sertifikat Hak Milik,CENTRAL
2975000000.0,Bendungan Hilir,3,2,291,SHM - Sertifikat Hak Milik,CENTRAL
1800000000.0,Cempaka Putih,3,2,120,SHM - Sertifikat Hak Milik,CENTRAL
4500000000.0,Sawah Besar,4,3,314,SHM - Sertifikat Hak Milik,CENTRAL
1523466666.0,Sawah Besar,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL
1524232333.0,Johar Baru,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL
1524233232.0,Cempaka Putih,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL
3500000000.0,Kemayoran,4,3,185,SHM - Sertifikat Hak Milik,CENTRAL
4000000000.0,Kemayoran,4,3,160,SHGB - Hak Guna Bangunan,CENTRAL
1350000000.0,Cideng,3,1,96,SHM - Sertifikat Hak Milik,CENTRAL
447400000.0,Salemba,2,2,39,SHM - Sertifikat Hak Milik,CENTRAL
1200000000.0,Cempaka Putih,2,1,80,SHM - Sertifikat Hak Milik,CENTRAL
5000000000.0,Cempaka Putih,3,2,240,SHM - Sertifikat Hak Milik,CENTRAL
3950000000.0,Kemayoran,5,2,176,SHM - Sertifikat Hak Milik,CENTRAL
2650000000.0,Johar Baru,3,4,150,SHM - Sertifikat Hak Milik,CENTRAL
1350000000.0,Sawah Besar,3,2,98,SHM - Sertifikat Hak Milik,CENTRAL
5250000000.0,Tanah Abang,4,3,200,SHM - Sertifikat Hak Milik,CENTRAL
3500000000.0,Cempaka Putih,4,2,200,SHM - Sertifikat Hak Milik,CENTRAL
3500000000.0,Cempaka Putih,3,2,157,SHM - Sertifikat Hak Milik,CENTRAL
900000000.0,Kemayoran,2,2,60,SHM - Sertifikat Hak Milik,CENTRAL
1350000000.0,Sawah Besar,3,2,98,SHM - Sertifikat Hak Milik,CENTRAL
2900000000.0,Sawah Besar,3,2,180,PPJB - Perjanjian Pengikatan Jual Beli,CENTRAL
3500000000.0,Cempaka Putih,4,3,200,SHM - Sertifikat Hak Milik,CENTRAL
1350000000.0,Sawah Besar,3,2,98,SHM - Sertifikat Hak Milik,CENTRAL
1700000000.0,Cideng,3,2,100,SHM - Sertifikat Hak Milik,CENTRAL
499900000.0,Cempaka Putih,2,2,42,SHM - Sertifikat Hak Milik,CENTRAL
1500000000.0,Kemayoran,2,1,76,SHM - Sertifikat Hak Milik,CENTRAL
1300000000.0,Kemayoran,2,2,104,SHM - Sertifikat Hak Milik,CENTRAL
3300000000.0,Gunung Sahari,4,4,177,SHM - Sertifikat Hak Milik,CENTRAL
2500000000.0,Gunung Sahari,3,3,120,SHM - Sertifikat Hak Milik,CENTRAL
1650000000.0,Cempaka Putih,3,3,120,SHM - Sertifikat Hak Milik,CENTRAL
2800000000.0,Cempaka Putih,4,2,160,SHM - Sertifikat Hak Milik,CENTRAL
2100000000.0,Kemayoran,3,3,150,SHM - Sertifikat Hak Milik,CENTRAL
1274000000.0,Cempaka Putih,2,2,58,SHM - Sertifikat Hak Milik,CENTRAL
499000000.0,Kemayoran,2,2,42,SHM - Sertifikat Hak Milik,CENTRAL
1350000000.0,Sawah Besar,3,2,98,SHM - Sertifikat Hak Milik,CENTRAL
5600000000.0,Kemayoran,3,3,153,SHGB - Hak Guna Bangunan,CENTRAL
6200000000.0,Salemba,3,2,136,SHM - Sertifikat Hak Milik,CENTRAL
3000000000.0,Kemayoran,4,2,200,SHM - Sertifikat Hak Milik,CENTRAL
1500000000.0,Cempaka Putih,3,2,110,SHM - Sertifikat Hak Milik,CENTRAL
2600000000.0,Johar Baru,5,4,200,SHM - Sertifikat Hak Milik,CENTRAL
2750000000.0,Cempaka Putih,5,3,140,SHM - Sertifikat Hak Milik,CENTRAL
4000000000.0,Cempaka Putih,3,2,157,SHM - Sertifikat Hak Milik,CENTRAL
1525000000.0,Cempaka Putih,2,2,68,SHM - Sertifikat Hak Milik,CENTRAL
2800000000.0,Cempaka Putih,4,2,160,SHM - Sertifikat Hak Milik,CENTRAL
3200000000.0,Cempaka Putih,5,4,200,SHM - Sertifikat Hak Milik,CENTRAL
1650000000.0,Gambir,2,3,120,SHM - Sertifikat Hak Milik,CENTRAL
2600000000.0,Kemayoran,3,2,190,SHM - Sertifikat Hak Milik,CENTRAL
506600000.0,Cempaka Putih,2,2,46,SHM - Sertifikat Hak Milik,CENTRAL
2400000000.0,Sawah Besar,3,2,150,SHM - Sertifikat Hak Milik,CENTRAL
2500000000.0,Senen,4,2,160,SHM - Sertifikat Hak Milik,CENTRAL
4300000000.0,Cempaka Putih,4,4,193,SHM - Sertifikat Hak Milik,CENTRAL
3200000000.0,Cempaka Putih,4,2,160,SHM - Sertifikat Hak Milik,CENTRAL
1650000000.0,Cempaka Putih,3,3,120,SHM - Sertifikat Hak Milik,CENTRAL
2400000000.0,Senen,3,2,120,SHM - Sertifikat Hak Milik,CENTRAL
1400000000.0,Cempaka Putih,3,3,90,SHM - Sertifikat Hak Milik,CENTRAL
405640000.0,Kemayoran,2,2,36,SHM - Sertifikat Hak Milik,CENTRAL
470250000.0,Kemayoran,2,2,43,SHM - Sertifikat Hak Milik,CENTRAL
3200000000.0,Tanah Abang,3,3,210,Strata,CENTRAL
500000000.0,Johar Baru,2,2,45,SHM - Sertifikat Hak Milik,CENTRAL
